MY GENTLEMAN FRIEND;date;label;Blossom Dearie,Cy Coleman,Jean Feline,Paul Misraki,Bruce Sievier,Bob Haymes,Ray Goetz,Charles Trenet,Kenny Burrell,Ray Brown,Ed Thigpen,Bobby Jaspar
MY SONG (ALBUM DE JOE PASS);date;label;Joe Pass,Bob Edmondson,Duke Ellington,Fats Waller,Dave Brubeck,Tom Ranier,Jitterbug Waltz,John Pisano,Jim Hughart,Colin Bailey,Donald Elfman
NEW INCENTIVE;date;label;Steve Williams,Shirley Horn,Olivier Hutman,Michael Bowie,Donvonte McCoy,John Hicks,Roy Hargrove
NEWPORT REBELS;date;label;Charles Mingus,Max Roach,Eric Dolphy,Roy Eldridge,Jo Jones,Tommy Flanagan,Coleman Hawkins,Benny Bailey,Jimmy Knepper,Julian Priester,Walter Benton,Kenny Dorham,Peck Morrison,Porter Grainger
NO ROOM FOR SQUARES;date;label;Hank Mobley,Old World,Donald Byrd,Herbie Hancock,John Ore,Butch Warren,Philly Joe Jones
THE NUTCRACKER SUITE;date;label;Duke Ellington,Piotr Ilitch Tchaikovski,Peanut Brittle Brigade,Volga Vouty,Willie Cook,Ray Nance,Clark Terry,Booty Wood,Britt Woodman,Juan Tizol,Jimmy Hamilton,Johnny Hodges,Paul Gonsalves,Sam Woodyard,Ellington Panorama,Ellington Indigos,Edward E.,Edward G.,John Coltrane,Him Bill,Soul Call
PRIDE (ALBUM DE DAVID AXELROD);date;label;Baroque Pop,Nooney Rickett,Proud Sorrow,Juan Diaz,Richie Unterberger,Brian DiGenti,Wax Poetics
RAH !;date;label;Mark Murphy,Earl Brent,Matt Dennis,Bronislau Kaper,Roy Kral,Tommy Wolf,Floyd Huddleston,Mark McIntyre,Miles Davis,Richard Rogers,Horace Silver,Lil Darlin,Neal Hefti,Jon Hendricks,Wardell Gray,Clark Terry,Joe Wilder,Bernie Glow,Ernie Royal,Urbie Green,Wynton Kelly,Bill Evans,Barry Galbraith,Sam Herman,George Duvivier,Wendell Marshall,Jimmy Cobb,Ernie Wilkins,Jim Brit
RITUAL OF THE SAVAGE;date;label;William George,Busy Port,Stone God,Jungle Jalopy,Martin Denny,Billboard Hot,Mondo Exotica,Joel Whitburn
ROLL CALL (ALBUM DE HANK MOBLEY);date;label;Hank Mobley,Roll Call,Freddie Hubbard,Wynton Kelly,Paul Chambers
SCIENCE FICTION (ALBUM D'ORNETTE COLEMAN);date;label;Ornette Coleman,Broken Shadows,Don Cherry,Bobby Bradford,Gerard Schwarz,Charlie Haden,Billy Higgins,David Henderson
SHIRLEY BUNNIE FOY (60TH ANNIVERSARY);date;label;Shirley Bunnie Foy,Pino Presti,Bunnie Foy,Tony Scott,Lou Bennett,Franco Cerri,Pierre Franzino,Sweet Pree,Horace Silver,Tomorrow Night,Bert Kaempfert,Ue Le Le,Sonny Taylor,Stefano Cerri,Sante Palumbo,Nicolas Viccaro,Claudio Citarella,Thierry Scheffer,Daniele Muratori
THE SINGING REED;date;label;Frederick Hollander,Jerome Moross,Richard Rogers,Fools Fall,David Mann,Harold H. Dickinson,Baltimore Oriole,Ralph Blane,Hugh Martin,Bill Evans,Dick Marx,Johnny Frigo
SOLID (ALBUM);date;label;Grant Green,McCoy Tyner,Elvin Jones,Duke Pearson,George Russell,Peter Bernstein,Sonny Rollins,Joe Henderson,Burt Bacharach,Hal David,Bob Cranshaw
SONNY CLARK QUINTETS;date;label;Sonny Clark,Cool Struttin,Eastern Incident,Kenny Burrell,Grant Green,Jimmy Raney,Royal Flush,Paul Chambers,Philly Joe Jones,Clifford Jordan,Sonny Clark Catalog
SOUL STATION;date;label;Soul Station,Hank Mobley,Roll Coll,John Coltrane,Sonny Rollins,Split Feelin,Wynton Kelly,Paul Chambers,Billboard Oct
SQUEEZE PLAY;date;label;Squeeze Play,John Serry,Ben Selvin,Ecole de,Charlie Chaplin,Cliff Friend,Dave Franklin,Giuseppe Verdi,Harry M. Woods,Percy Faith,Hawaian Night,Francis Vincente,Ray Henderson,Roll Polka,George Skinner,Charlie Roeder,Harry Breur
STREET SIGNS;date;label;Hassan Kakmoun,Jason Roberts,Te Estoy Buscando,Ya Viene,Dona Isabelle,Eddie Palmieri,Nadie Te Tira,Cuando Canto,Sheffer Bruton,Mario Calire,Raul Pacheco,Justin Poree,Jiro Yamaguchi,Beatle Bob,Cut Chemist,Hassan Hakmoun,David Hidalgo,Walter Miranda,Greg Poree
SUNG HEROES;date;label;Tony Scott,Tonny Scott,Cherry Blossoms,Shinichi Yuize,Charlie Parker,Horst Jankowski,Bill Evans,Paul Motian,Stefan Wolpe,Juan Sastre
TALES OF ANOTHER;date;label;Gary Peacock,Manfred Eicher,Keith Jarrett,Jack DeJohnette
TEN FREEDOM SUMMERS;date;label;Emmett Till,Thurgood Marshall,John F. Kennedy,Rosa Parks,Lyndon B.,Fannie Lou Hamer,Martin Luther King
THESAURUS (ALBUM);date;label;Clare Fischer,Martin Williams,Warne Marsh,Bill Perkins,Miles Behind,Stewart Fischer,John F.,Robert F. Kennedy,Kim Richmond,Louis Ciotti,Buddy Childers,Conte Candoli,Steve Huffsteter,Charley Loper,David Sanchez,Chuck Domanico,Claire Fisher
TIMELESS (ALBUM DE JOHN ABERCROMBIE);date;label;Manfred Eicher,Jan Hammer,Jack DeJohnette
TO SWING OR NOT TO SWING;date;label;Barney Kessel,Bob Schafer,Happy Feeling,Ballard MacDonald,Moten Swing,Bennie Moten,Buster Moten,Sonny Burke,Lionel Hampton,Harry Edison,Jimmy Rowles,Shelly Manne
WINTER IN AMERICA;date;label;Brian Jackson,Silver Spring,Bobby Smith
WORKOUT (ALBUM DE HANK MOBLEY);date;label;Hank Mobley,Uh Huh,Ray Henderson,Grant Green,Wynton Kelly,Paul Chambers,Philly Joe Jones
