Danny Quebec West;male;date de naissance;instrument;country;AIAN
Sahib Shihab;male;date de naissance;instrument;country;White
Billy Smith;male;date de naissance;instrument;country;AIAN
Gene Ramey;mostly_male;date de naissance;instrument;country;2PRACE
Bob Paige;male;date de naissance;instrument;country;Black
Art Blakey;male;date de naissance;instrument;country;White
Wayne Shorter;male;date de naissance;instrument;country;White
Ron Carter;male;date de naissance;instrument;country;API
Dollar Brand;unknown;date de naissance;instrument;country;White
Gary Chandler;male;date de naissance;instrument;country;White
Malindi Blyth Mbityana;unknown;date de naissance;instrument;country;White
Craig Harris;male;date de naissance;instrument;country;White
Carlos Ward;male;date de naissance;instrument;country;Hispanic
Jeff Jaywarrah King;male;date de naissance;instrument;country;White
Dwayne Armstrong;male;date de naissance;instrument;country;White
Kenny Rogers;male;date de naissance;instrument;country;White
Lawrence Lucie;male;date de naissance;instrument;country;White
Miguel Pomier;male;date de naissance;instrument;country;AIAN
Andre Strobert;male;date de naissance;instrument;country;White
Stan Tracey;male;date de naissance;instrument;country;White
Bobby Wellins;male;date de naissance;instrument;country;White
Jeff Clyne;male;date de naissance;instrument;country;White
Jackie Dougan;andy;date de naissance;instrument;country;White
Esbj�rn Svensson;unknown;date de naissance;instrument;country;White
Dan Berglund;male;date de naissance;instrument;country;White
Magnus �str�m;male;date de naissance;instrument;country;White
John Handy;male;date de naissance;instrument;country;White
Mike White;male;date de naissance;instrument;country;White
Jerry Hahn;male;date de naissance;instrument;country;White
Don Thompson;male;date de naissance;instrument;country;Black
Terry Clarke;mostly_male;date de naissance;instrument;country;White
Gil Evans;male;date de naissance;instrument;country;Hispanic
Johnny Coles;male;date de naissance;instrument;country;White
Ernie Royal;male;date de naissance;instrument;country;White
Thad Jones;male;date de naissance;instrument;country;White
Bernie Glow;mostly_female;date de naissance;instrument;country;White
Frank Rehak;male;date de naissance;instrument;country;White
Jimmy Cleveland;male;date de naissance;instrument;country;API
Julius Watkins;male;date de naissance;instrument;country;White
Bill Barber;male;date de naissance;instrument;country;White
Steve Lacy;male;date de naissance;instrument;country;White
Garvin Bushell;male;date de naissance;instrument;country;White
Jerome Richardson;male;date de naissance;instrument;country;White
Kenny Burrell;male;date de naissance;instrument;country;White
Milt Hinton;male;date de naissance;instrument;country;White
Gary Peacock;male;date de naissance;instrument;country;White
Gerry Milligan;mostly_male;date de naissance;instrument;country;White
Chet Baker;male;date de naissance;instrument;country;Hispanic
Bobby Whitlock;male;date de naissance;instrument;country;White
Chico Hamilton;unknown;date de naissance;instrument;country;API
Brad Mehldau;male;date de naissance;instrument;country;White
Larry Grenadier;male;date de naissance;instrument;country;Black
Jorge Rossy;male;date de naissance;instrument;country;Hispanic
Archie Shepp;male;date de naissance;instrument;country;Black
Alan Shorter;male;date de naissance;instrument;country;Hispanic
John Tchicai;male;date de naissance;instrument;country;White
Reggie Workman;male;date de naissance;instrument;country;White
Charles Moffett;male;date de naissance;instrument;country;Hispanic
Count Basie;unknown;date de naissance;instrument;country;White
Joe Newman;male;date de naissance;instrument;country;AIAN
Wendell Culley;male;date de naissance;instrument;country;White
Snooky Young;unknown;date de naissance;instrument;country;White
Benny Powell;male;date de naissance;instrument;country;API
Henry Coker;male;date de naissance;instrument;country;White
Al Grey;male;date de naissance;instrument;country;White
Marshall Royal;male;date de naissance;instrument;country;White
Frank Wess;male;date de naissance;instrument;country;White
Frank Foster;male;date de naissance;instrument;country;White
Eddie �Lockjaw� Davis;male;date de naissance;instrument;country;AIAN
Charlie Fowlkes;mostly_male;date de naissance;instrument;country;AIAN
Freddie Green;mostly_male;date de naissance;instrument;country;Black
Eddie Jones;male;date de naissance;instrument;country;AIAN
Sonny Payne;male;date de naissance;instrument;country;2PRACE
Neal Hefti;male;date de naissance;instrument;country;White
Miles Davis;male;date de naissance;instrument;country;White
Lee Konitz;mostly_male;date de naissance;instrument;country;White
Gerry Mulligan;mostly_male;date de naissance;instrument;country;White
JJ Johnson;unknown;date de naissance;instrument;country;White
Kai Winding;male;date de naissance;instrument;country;2PRACE
Junior Collins;unknown;date de naissance;instrument;country;Hispanic
Gunther Schuller;male;date de naissance;instrument;country;White
Sandy Siegelstein;mostly_female;date de naissance;instrument;country;White
Billy Barber;male;date de naissance;instrument;country;AIAN
John Barber;male;date de naissance;instrument;country;White
Nelson Boyd;male;date de naissance;instrument;country;White
Joe Shulman;male;date de naissance;instrument;country;AIAN
Al McKibbon;male;date de naissance;instrument;country;White
Al Haig;male;date de naissance;instrument;country;White
John Lewis;male;date de naissance;instrument;country;White
Kenny Clarke;male;date de naissance;instrument;country;White
 Max Roach;unknown;date de naissance;instrument;country;White
Johnny Carisi;male;date de naissance;instrument;country;White
Kenny Hagood;male;date de naissance;instrument;country;White
Peter Br�tzmann;male;date de naissance;instrument;country;White
Willem Breuker;male;date de naissance;instrument;country;White
Fred Van Hove;male;date de naissance;instrument;country;AIAN
Peter Kowald;male;date de naissance;instrument;country;White
Buschi Niebergall;unknown;date de naissance;instrument;country;White
Han Bennink;andy;date de naissance;instrument;country;API
Sven Johansson;male;date de naissance;instrument;country;White
Coleman Hawkins;male;date de naissance;instrument;country;White
Harold Land;male;date de naissance;instrument;country;White
Richie Powell;male;date de naissance;instrument;country;White
George Morrow;male;date de naissance;instrument;country;White
Max Roach;male;date de naissance;instrument;country;API
Horace Silver;male;date de naissance;instrument;country;Black
Blue Mitchell;unknown;date de naissance;instrument;country;White
Carmell Jones;unknown;date de naissance;instrument;country;White
Junior Cook;unknown;date de naissance;instrument;country;Hispanic
Joe Henderson;male;date de naissance;instrument;country;AIAN
Gene Taylor;mostly_male;date de naissance;instrument;country;2PRACE
Teddy Smith;male;date de naissance;instrument;country;White
Roy Brooks;male;date de naissance;instrument;country;Black
Roger Humphries;male;date de naissance;instrument;country;Hispanic
Lester Bowie;male;date de naissance;instrument;country;White
Roscoe Mitchell;male;date de naissance;instrument;country;White
Joseph Jarman;male;date de naissance;instrument;country;API
Malachi Favors;male;date de naissance;instrument;country;Black
John Coltrane;male;date de naissance;instrument;country;White
Dewey Johnson;male;date de naissance;instrument;country;White
Marion Brown;female;date de naissance;instrument;country;White
Pharoah Sanders;unknown;date de naissance;instrument;country;White
McCoy Tyner;unknown;date de naissance;instrument;country;White
Jimmy Garrison;male;date de naissance;instrument;country;API
Lester Young;male;date de naissance;instrument;country;White
Nat King Cole;male;date de naissance;instrument;country;White
Buddy Rich;male;date de naissance;instrument;country;White
Leon Thomas;male;date de naissance;instrument;country;Hispanic
James Spaulding;male;date de naissance;instrument;country;White
Lonnie Liston Smith;mostly_male;date de naissance;instrument;country;AIAN
Freddie Waits;mostly_male;date de naissance;instrument;country;Black
William Hart;male;date de naissance;instrument;country;Black
Nathaniel Betis;male;date de naissance;instrument;country;Black
John McLaughlin;male;date de naissance;instrument;country;White
Brian Odges;male;date de naissance;instrument;country;White
Tony Oxley;male;date de naissance;instrument;country;API
John Zorn;male;date de naissance;instrument;country;White
Bill Frisell;male;date de naissance;instrument;country;White
Wayne Horvitz;male;date de naissance;instrument;country;White
Fred Frith;male;date de naissance;instrument;country;AIAN
Joey Baron;male;date de naissance;instrument;country;Black
Lennie Tristano;male;date de naissance;instrument;country;White
Peter Ind;male;date de naissance;instrument;country;White
Jeff Morton;male;date de naissance;instrument;country;White
Art Taylor;male;date de naissance;instrument;country;White
Dizzy Gillespie;unknown;date de naissance;instrument;country;White
Charlie Parker;mostly_male;date de naissance;instrument;country;AIAN
Sonny Stitt;male;date de naissance;instrument;country;2PRACE
Dexter Gordon;male;date de naissance;instrument;country;White
Clyde Hart;male;date de naissance;instrument;country;White
Frank Paparelli;male;date de naissance;instrument;country;White
Milt Jackson;male;date de naissance;instrument;country;White
Chuck Wayne;male;date de naissance;instrument;country;Black
Curly Russell;unknown;date de naissance;instrument;country;White
Slam Stewart;unknown;date de naissance;instrument;country;White
Sid Catlett;mostly_male;date de naissance;instrument;country;2PRACE
Cozy Cole;unknown;date de naissance;instrument;country;Black
Shelly Manne;female;date de naissance;instrument;country;White
Sun Ra;andy;date de naissance;instrument;country;API
Chris Capers;mostly_male;date de naissance;instrument;country;White
Teddy Nance;male;date de naissance;instrument;country;White
