Tribute to the Humphrey Brothers and Eureka Brass Band featuring Mark Braud,2019-05-03,Economy Hall Tent,4:20 PM,1970 - First Festival Artist
The Creole Jazz Band,1970-04-23,Municipal Auditorium,3:00 PM,"Dede Pierce, Homer Eugene, Cie Frazier, Albert Walters, Eddie Dawson, Cornbread Thomas"
Mahalia Jackson,1970-04-24,Municipal Auditorium,8:00 PM,accompanied by the Crescent City Community Choir directed by Professor Elliot Beal.
Al Hirt and His Orchestra,1970-04-25,Municipal Auditorium,8:00 PM,"Pee Wee Spitelera, Joe Prejean, Mike Olsheski, Rod Saenz, Paul Ferrera, Ellis Marsalis."
The Boudreaux Family Celebrate Big Chief Monk Boudreaux,2019-05-05,Cultural Exchange Pavilion World Journey,12:40 PM,1970 - First Festival Artist
The Dukes of Dixieland,1970-04-23,Municipal Auditorium,8:00 PM,"Frank Assunto, Charlie Bornemann, Rudy Aikels, Harold Cooper, Don Ewell, Freddie Kohlman"
Tribute to the Original Dixieland Jazz Band and the New Orleans Rhythm Kings,1970-04-24,Municipal Auditorium,12:30 PM,Sharkey and his Kings of Dixieland
Give the Drummer Some,2019-04-28,WWOZ Jazz Tent,3:00 PM,"featuring Herlin Riley, Shannon Powell, Terrence Higgins, and Johnny Vidacovich; 1970 - First Festival Artist"
"Duke Ellington Orchestra, Al Hirt, Al Belletto, James Rivers and a marching band",1970-04-25,Municipal Auditorium,8:00 PM,Captain John Handy and Germaine Bazzle
A Tribute to Pete Fountain and Al Hirt ,2019-05-04,Economy Hall Tent,4:15 PM,"featuring Tim Laughlin, Wendell Brunious, Ronnie Kole, and Doyle Cooper; 1970 - First Festival Artist"
James Rivers,2019-04-25,Allison Miner Music Heritage Stage,12:30 PM,"started at 12:45 PM due to inclement weather, Interviewer: Matt Sakakeeny; 1970 - First Festival Artist"
John Prine; Interviewer: Tom Piazza,2019-05-05,Allison Miner Music Heritage Stage,2:30 PM,Replaced by Big Chief Monk Boudreaux; 1970 - First Festival Artist; Interviewer: Tom Piazza
Pete Fountain and His Orchestra,1970-04-23,Municipal Auditorium,8:00 PM,"Eddie Miller, Jim Duggan, Jack Delaney, Conrad Jones, Mike Serpas, Earl Vuiovich, Oliver Felix, Jack Sperling"
"Soul Now, New Orleans",1970-04-25,Municipal Auditorium,3:00 PM,"with Larry McKinley, the Meters, Oliver and the Rockettes, Clarence Frogman Henry, and the Southern University Band"
Foundation of Funk ,2019-04-26,Acura Stage,3:00 PM,"featuring Zigaboo Modeliste and George Porter, Jr. with special guests Ivan Neville, Tony Hall and Ian Neville; 1970 - First Festival Artist"
Sharkey and His Kings of Dixieland,1970-04-23,Municipal Auditorium,8:00 PM,"Sharkey Bonano, John Brunious, Dr. Ray Benitez, Harry Shields, Emile Usin, Frank Federico,  Guest:  Emile Christian."
New Orleans Greats,1970-04-24,Municipal Auditorium,12:30 PM,"Thomas Jefferson, Louis Armstrong, Freddie Keppard, Sam Morgan and Buddy Bolden. Emceed by Bill Russell and Willie Humphrey"
The New Orleans Modern Jazz All Stars,1970-04-24,Municipal Auditorium,8:00 PM,"Ellis Marsalis, Mike Olsheski, Earl Turbinton, Joe Morton, John Brunious, Rudy Aikels, John Vidocavich.  Guest. Edie Aikels"
Ellis Marsalis Family Tribute ,2019-04-28,WWOZ Jazz Tent,5:40 PM,"featuring Wynton Marsalis, Brandford Marsalis, Delfeayo Marsalis, and Jason Marsalis with Ellis Marsalis; 1970 - First Festival Artist"
Olympia Brass Band,1970-04-23,Parade,,"Harold Dejean, Paul Crawford, Allan Jaffe, Milton Batiste, Kid Sheik, Andy Anderson , Manuel Crusto, Booker T. Glass, Papa Glass, Andrew Jefferson, Fats Houston, Anderson Minor"
Olympia Brass Band,1970-04-24,Parade,,"Harold Dejean, Paul Crawford, Allan Jaffe, Milton Batiste, Kid Sheik, Andy Anderson , Manuel Crusto, Booker T. Glass, Papa Glass, Andrew Jefferson, Fats Houston, Anderson Minor"
Olympia Brass Band,1970-04-25,Parade,,"Harold Dejean, Paul Crawford, Allan Jaffe, Milton Batiste, Kid Sheik, Andy Anderson , Manuel Crusto, Booker T. Glass, Papa Glass, Andrew Jefferson, Fats Houston, Anderson Minor"
Olympia Brass Band,1970-04-26,Parade,,"Harold Dejean, Paul Crawford, Allan Jaffe, Milton Batiste, Kid Sheik, Andy Anderson , Manuel Crusto, Booker T. Glass, Papa Glass, Andrew Jefferson, Fats Houston, Anderson Minor"
The Kings of Zydeco: A Tribute to Clifton Chenier and Buckwheat Zydeco ,2019-05-04,Sheraton New Orleans Fais Do-Do Tent,5:30 PM,"featuring C.J. Chenier, Nathan Williams, and the Iis Sont Partis Band; 1970 - First Festival Artist"
Papa Albert French and the Original Tuxedo Jazz Band,1970-04-23,Municipal Auditorium,8:00 PM,"Jeanette Kimball, Jack Willis, Joseph 'Cornbread' Thomas, Louis Barbarin, Waldren 'Frog' Joseph. Guest: Sweet Emma Barrett."
Eureka Brass Band,1970-04-23,Parade,,"Percy Humphrey, Oscar Chicken Henry, Earl Humphrey, Albert Brown, Punch Miller, Paul Barnes, Cie Frazier, Eddie Summers, Booker T. Blass, Terry Humphrey, Willie Humphrey, Alvin Alcorn"
Olympia Brass Band,1970-04-24,Parade,12:00 PM,"Harold Dejean, Paul Crawford, Allan Jaffe, Milton Batiste, Kid Sheik, Andy Anderson , Manuel Crusto, Booker T. Glass, Papa Glass, Andrew Jefferson, Fats Houston, Anderson Minor"
Eureka Brass Band,1970-04-24,Parade,,"Percy Humphrey, Oscar Chicken Henry, Earl Humphrey, Albert Brown, Punch Miller, Paul Barnes, Cie Frazier, Eddie Summers, Booker T. Blass, Terry Humphrey, Willie Humphrey, Alvin Alcorn"
Eureka Brass Band,1970-04-25,Parade,12:00 PM,"Percy Humphrey, Oscar Chicken Henry, Earl Humphrey, Albert Brown, Punch Miller, Paul Barnes, Cie Frazier, Eddie Summers, Booker T. Blass, Terry Humphrey, Willie Humphrey, Alvin Alcorn"
Eureka Brass Band,1970-04-25,Parade,,"Percy Humphrey, Oscar Chicken Henry, Earl Humphrey, Albert Brown, Punch Miller, Paul Barnes, Cie Frazier, Eddie Summers, Booker T. Blass, Terry Humphrey, Willie Humphrey, Alvin Alcorn"
