Name,Date,Venue,Time,Notes
Professor Longhair,1972-04-29,Soul,,"With guitarist, Snooks Eaglin"
Deacon John and Duckbutter,1972-04-30,Soul,,With drummer James Black
Professor Longhair,1972-04-30,Soul,,"With guitarist, Snooks Eaglin"
New Orleans Ragtime Orchestra,1972-04-28,Main Ballroom - Jung Hotel,8:00 PM,
New Orleans Ragtime Orchestra,1972-04-29,Municipal Auditorium,8:00 PM,
Armand Hug,1972-04-27,International Room - Fairmont Roosevelt Hotel,8:00 PM,
Papa Albert French and the Original Tuxedo Jazz Band,1972-04-26,The President,8:00 PM,
Silas Hogan's Baton Rouge Blues Band,1972-04-27,Blues,,featuring Guitar Kelly
Raymond Burke,1972-04-27,International Room - Fairmont Roosevelt Hotel,8:00 PM,
Silas Hogan's Baton Rouge Blues Band,1972-04-28,Blues,,featuring Guitar Kelly
Silas Hogan's Baton Rouge Blues Band,1972-04-29,Blues,,featuring Guitar Kelly
Silas Hogan's Baton Rouge Blues Band,1972-04-30,Blues,,featuring Guitar Kelly
Roosevelt Sykes,1972-04-27,International Room - Fairmont Roosevelt Hotel,8:00 PM,
George Finola Sextet,1972-04-27,International Room - Fairmont Roosevelt Hotel,8:00 PM,
Storyville Jazz Band,1972-04-27,International Room - Fairmont Roosevelt Hotel,8:00 PM,
Wallace Davenport,1972-04-27,International Room - Fairmont Roosevelt Hotel,8:00 PM,
Southern University Jazz Band,1972-04-27,Jazz Tent,,Under the direction of Alvin Batiste
Southern University Jazz Band,1972-04-28,Jazz Tent,,Under the direction of Alvin Batiste
Southern University Jazz Band,1972-04-29,Jazz Tent,,Under the direction of Alvin Batiste
Southern University Jazz Band,1972-04-30,Jazz Tent,,Under the direction of Alvin Batiste
Preservation Hall Jazz Band,1972-04-27,International Room - Fairmont Roosevelt Hotel,8:00 PM,
Giants of Jazz,1972-04-30,Special Guest,,"Art Blakey, Dizzy Gillespie, Al McKibbon, Thelonious Monk, Sonny Stitt, Kai Winding, Jimmy Smith, Kenny Burrell"
Giants of Jazz,1972-04-29,Municipal Auditorium,8:00 PM,"Art Blakey, Dizzy Gillespie, Al McKibbon, Thelonious Monk, Sonny Stitt, Kai Winding, Jimmy Smith, Kenny Burrell"
